open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753574400000,793.570,793.910,793.490,793.600,1044.18,1753574459999,828722.97290,1455,374.82,297466.01410,0
1753574460000,793.590,793.590,792.770,793.360,814.95,1753574519999,646393.33800,891,396.98,314864.64750,0
1753574520000,793.350,793.840,793.350,793.650,694.80,1753574579999,551394.82080,695,419.91,333233.19150,0
1753574580000,793.650,793.650,793.270,793.340,218.70,1753574639999,173532.37640,408,58.41,46343.98660,0
1753574640000,793.380,793.550,793.200,793.400,518.35,1753574699999,411250.97620,478,141.12,111955.91710,0
1753574700000,793.400,793.920,793.000,793.520,768.55,1753574759999,609904.24450,831,213.72,169587.68410,0
1753574760000,793.520,794.080,793.500,793.750,517.58,1753574819999,410864.69030,515,157.25,124823.18020,0
1753574820000,793.750,793.850,793.610,793.720,463.46,1753574879999,367871.08490,442,94.44,74960.82120,0
1753574880000,793.720,793.760,792.630,792.630,314.65,1753574939999,249597.73870,569,85.58,67897.17270,0
1753574940000,792.630,792.670,791.160,791.860,2319.58,1753574999999,1836822.40730,2001,564.21,446742.90210,0
1753575000000,791.870,792.690,791.820,792.450,658.94,1753575059999,522105.81110,775,465.32,368701.13980,0
1753575060000,792.450,792.930,792.450,792.680,348.84,1753575119999,276533.76770,569,187.62,148728.94180,0
1753575120000,792.690,793.080,792.610,793.080,242.23,1753575179999,192026.21240,363,160.59,127306.60010,0
1753575180000,793.080,794.000,793.070,794.000,289.74,1753575239999,229918.69580,580,128.06,101621.39060,0
1753575240000,794.000,794.980,793.730,794.890,734.49,1753575299999,583349.13810,852,380.94,302551.65160,0
1753575300000,794.890,795.160,794.640,794.790,1290.80,1753575359999,1026086.61690,810,638.47,507571.99550,0
1753575360000,794.790,794.840,794.450,794.810,315.34,1753575419999,250584.55970,577,88.26,70135.96280,0
1753575420000,794.810,794.990,794.620,794.680,158.97,1753575479999,126357.35470,329,63.24,50262.00690,0
1753575480000,794.690,795.120,794.560,795.110,149.87,1753575539999,119119.75560,266,82.77,65791.31100,0
1753575540000,795.120,795.520,795.120,795.490,295.12,1753575599999,234693.48610,451,147.05,116946.91800,0
1753575600000,795.500,796.660,795.490,796.660,846.85,1753575659999,674083.48580,987,688.64,548120.31730,0
1753575660000,796.660,796.960,796.350,796.960,1456.81,1753575719999,1160592.98850,1143,1057.70,842628.63730,0
1753575720000,796.960,797.320,796.680,796.690,769.29,1753575779999,613139.74280,826,414.13,330075.99880,0
1753575780000,796.680,796.720,796.000,796.210,609.87,1753575839999,485677.86770,723,183.00,145720.89680,0
1753575840000,796.210,796.900,796.210,796.260,347.12,1753575899999,276498.64090,457,148.34,118151.41510,0
1753575900000,796.260,796.260,794.970,794.970,516.15,1753575959999,410642.70190,753,173.74,138224.59140,0
1753575960000,794.980,795.300,794.890,795.190,532.91,1753576019999,423698.18690,573,406.34,323058.25090,0
1753576020000,795.200,796.220,795.120,796.210,401.14,1753576079999,319231.94060,621,244.99,194948.10860,0
1753576080000,796.220,796.380,796.100,796.180,285.13,1753576139999,227036.39320,465,165.74,131975.42370,0
1753576140000,796.180,796.980,796.050,796.940,1151.17,1753576199999,916960.34460,849,824.34,656646.07180,0
1753576200000,796.950,797.270,796.800,796.930,1074.86,1753576259999,856713.53440,934,414.72,330544.89260,0
1753576260000,796.990,797.090,796.840,796.850,287.23,1753576319999,228913.39610,522,127.62,101707.55510,0
1753576320000,796.850,797.130,796.800,797.120,538.72,1753576379999,429309.42020,526,271.32,216218.80120,0
