time,action,price,quantity,direction,pnl,fee_cost,gross_pnl,unrealized_pnl,total_equity
2025-07-02 16:09:00,SELL_SHORT,664.39,0.01505140053281958,SHORT,0.0,0.002,0.0,0.0,1009.998
2025-07-02 21:21:00,COVER_SHORT,662.39,0.01505140053281958,SHORT,0.028108821625852286,0.0019939794397868726,0.03010280106563916,0.0,1000.0261088216259
2025-07-09 19:31:00,SELL_SHORT,669.12,0.014945002391200382,SHORT,0.0,0.002,0.0,0.0,1010.024108821626
2025-07-09 20:02:00,SELL_SHORT,671.49,0.01489225453841457,SHORT,0.0,0.002,0.0,-0.03541965566714497,1019.9866891659589
2025-07-09 20:07:00,COVER_SHORT,669.42,0.014945002391200382,SHORT,-0.006484397417502907,0.002000896700143472,-0.0044835007173594345,0.030826966894518904,1010.0464513911031
2025-07-09 20:54:00,COVER_SHORT,667.23,0.01489225453841457,SHORT,0.06145369253451267,0.001987311799133271,0.06344100433364594,0.0,1000.0770781167431
2025-07-10 21:18:00,SELL_SHORT,680.87,0.014687091515267231,SHORT,0.0,0.002,0.0,0.0,1010.0750781167432
2025-07-10 21:23:00,SELL_SHORT,683.59,0.014628651677174915,SHORT,0.0,0.002,0.0,-0.039948888921527266,1020.0331292278216
2025-07-10 21:33:00,COVER_SHORT,681.43,0.014687091515267231,SHORT,-0.010226416202798558,0.0020016449542497095,-0.008224771248548849,0.031597887622699015,1010.0944495881631
2025-07-10 21:40:00,SELL_SHORT,684.1,0.0146177459435755,SHORT,0.0,0.002,0.0,-0.007460612355359073,1020.0533910881851
2025-07-10 21:54:00,SELL_SHORT,686.28,0.014571312000932564,SHORT,0.0,0.002,0.0,-0.07121775916859352,1029.9876339413718
2025-07-11 00:35:00,SELL_SHORT,689.21,0.014509365795621072,SHORT,0.0,0.002,0.0,-0.19960364836012742,1039.8572480521802
2025-07-11 00:44:00,COVER_SHORT,686.9,0.014628651677174915,SHORT,-0.05043052121885846,0.00200968416741029,-0.048420837051448166,-0.016447267094703455,1029.9899739122268
2025-07-11 01:03:00,SELL_SHORT,689.13,0.01451105016470042,SHORT,0.0,0.002,0.0,-0.11389475203519223,1039.8905264272864
2025-07-11 01:26:00,SELL_SHORT,691.5,0.014461315979754157,SHORT,0.0,0.002,0.0,-0.25185120518963855,1049.7505699741318
2025-07-11 01:51:00,COVER_SHORT,689.37,0.0146177459435755,SHORT,-0.07905092822686716,0.0020154071042245286,-0.07703552112264263,-0.02002690161283294,1039.9033433494817
2025-07-11 03:18:00,SELL_SHORT,691.53,0.014460688617991988,SHORT,0.0,0.002,0.0,-0.14542147652540885,1049.7759487745693
2025-07-11 04:00:00,COVER_SHORT,689.24,0.014571312000932564,SHORT,-0.04513970973946547,0.002008626216704552,-0.04313108352276092,0.06376605455745991,1039.9399965959126
2025-07-11 05:17:00,SELL_SHORT,691.57,0.014459852220310307,SHORT,0.0,0.002,0.0,-0.07123978534284006,1049.8029907560124
2025-07-11 05:25:00,SELL_SHORT,693.74,0.014414622192752328,SHORT,0.0,0.002,0.0,-0.22835271727191725,1059.6438778240833
2025-07-11 06:34:00,COVER_SHORT,691.65,0.014509365795621072,SHORT,-0.03740993311182282,0.0020070805705082627,-0.03540285254131456,-0.01150255424093764,1049.8233180540026
2025-07-11 06:47:00,COVER_SHORT,689.57,0.01451105016470042,SHORT,-0.00838613904488347,0.0020012769724144937,-0.006384862072468976,0.1452819685165852,1039.9717164377153
