time,price,equity,realized_pnl,unrealized_pnl
2025-07-01 00:00:00,657.24,1000.0,0.0,0.0
2025-07-01 00:01:00,657.32,1000.0,0.0,0.0
2025-07-01 00:02:00,657.79,1000.0,0.0,0.0
2025-07-01 00:03:00,657.69,1000.0,0.0,0.0
2025-07-01 00:04:00,657.42,1000.0,0.0,0.0
2025-07-01 00:05:00,657.36,1000.0,0.0,0.0
2025-07-01 00:06:00,657.65,1000.0,0.0,0.0
2025-07-01 00:07:00,657.64,1000.0,0.0,0.0
2025-07-01 00:08:00,657.91,1000.0,0.0,0.0
2025-07-01 00:09:00,658.29,1000.0,0.0,0.0
2025-07-01 00:10:00,658.25,1000.0,0.0,0.0
2025-07-01 00:11:00,658.47,1000.0,0.0,0.0
2025-07-01 00:12:00,658.53,1000.0,0.0,0.0
2025-07-01 00:13:00,658.44,1000.0,0.0,0.0
2025-07-01 00:14:00,658.45,1000.0,0.0,0.0
2025-07-01 00:15:00,658.54,1000.0,0.0,0.0
2025-07-01 00:16:00,658.82,1000.0,0.0,0.0
2025-07-01 00:17:00,658.98,1000.0,0.0,0.0
2025-07-01 00:18:00,658.96,1000.0,0.0,0.0
2025-07-01 00:19:00,658.96,1000.0,0.0,0.0
2025-07-01 00:20:00,658.92,1000.0,0.0,0.0
2025-07-01 00:21:00,658.63,1000.0,0.0,0.0
2025-07-01 00:22:00,658.69,1000.0,0.0,0.0
2025-07-01 00:23:00,658.61,1000.0,0.0,0.0
2025-07-01 00:24:00,658.01,1000.0,0.0,0.0
2025-07-01 00:25:00,658.17,1000.0,0.0,0.0
2025-07-01 00:26:00,657.9,1000.0,0.0,0.0
2025-07-01 00:27:00,657.88,1000.0,0.0,0.0
2025-07-01 00:28:00,657.8,1000.0,0.0,0.0
2025-07-01 00:29:00,657.42,1000.0,0.0,0.0
2025-07-01 00:30:00,656.86,1000.0,0.0,0.0
2025-07-01 00:31:00,657.16,1000.0,0.0,0.0
2025-07-01 00:32:00,657.38,1000.0,0.0,0.0
2025-07-01 00:33:00,657.0,1000.0,0.0,0.0
2025-07-01 00:34:00,657.59,1000.0,0.0,0.0
2025-07-01 00:35:00,658.38,1000.0,0.0,0.0
2025-07-01 00:36:00,657.99,1000.0,0.0,0.0
2025-07-01 00:37:00,658.21,1000.0,0.0,0.0
2025-07-01 00:38:00,658.07,1000.0,0.0,0.0
2025-07-01 00:39:00,657.84,1000.0,0.0,0.0
2025-07-01 00:40:00,657.96,1000.0,0.0,0.0
2025-07-01 00:41:00,657.97,1000.0,0.0,0.0
2025-07-01 00:42:00,658.08,1000.0,0.0,0.0
2025-07-01 00:43:00,657.99,1000.0,0.0,0.0
2025-07-01 00:44:00,658.04,1000.0,0.0,0.0
2025-07-01 00:45:00,658.0,1000.0,0.0,0.0
2025-07-01 00:46:00,658.05,1000.0,0.0,0.0
2025-07-01 00:47:00,658.06,1000.0,0.0,0.0
2025-07-01 00:48:00,657.94,1000.0,0.0,0.0
2025-07-01 00:49:00,657.77,1000.0,0.0,0.0
2025-07-01 00:50:00,657.76,1000.0,0.0,0.0
2025-07-01 00:51:00,657.99,1000.0,0.0,0.0
2025-07-01 00:52:00,658.2,1000.0,0.0,0.0
2025-07-01 00:53:00,657.96,1000.0,0.0,0.0
2025-07-01 00:54:00,658.16,1000.0,0.0,0.0
2025-07-01 00:55:00,657.93,1000.0,0.0,0.0
2025-07-01 00:56:00,657.96,1000.0,0.0,0.0
2025-07-01 00:57:00,657.98,1000.0,0.0,0.0
2025-07-01 00:58:00,658.11,1000.0,0.0,0.0
2025-07-01 00:59:00,658.17,1000.0,0.0,0.0
2025-07-01 01:00:00,658.33,1000.0,0.0,0.0
2025-07-01 01:01:00,658.28,1000.0,0.0,0.0
2025-07-01 01:02:00,658.35,1000.0,0.0,0.0
2025-07-01 01:03:00,658.28,1000.0,0.0,0.0
2025-07-01 01:04:00,658.32,1000.0,0.0,0.0
2025-07-01 01:05:00,658.12,1000.0,0.0,0.0
2025-07-01 01:06:00,658.38,1000.0,0.0,0.0
2025-07-01 01:07:00,658.26,1000.0,0.0,0.0
2025-07-01 01:08:00,658.16,1000.0,0.0,0.0
2025-07-01 01:09:00,658.16,1000.0,0.0,0.0
2025-07-01 01:10:00,658.24,1000.0,0.0,0.0
2025-07-01 01:11:00,658.09,1000.0,0.0,0.0
2025-07-01 01:12:00,658.1,1000.0,0.0,0.0
2025-07-01 01:13:00,658.28,1000.0,0.0,0.0
2025-07-01 01:14:00,658.4,1000.0,0.0,0.0
2025-07-01 01:15:00,658.22,1000.0,0.0,0.0
2025-07-01 01:16:00,658.4,1000.0,0.0,0.0
2025-07-01 01:17:00,658.35,1000.0,0.0,0.0
2025-07-01 01:18:00,658.51,1000.0,0.0,0.0
2025-07-01 01:19:00,658.7,1000.0,0.0,0.0
2025-07-01 01:20:00,658.43,1000.0,0.0,0.0
2025-07-01 01:21:00,658.52,1000.0,0.0,0.0
2025-07-01 01:22:00,658.38,1000.0,0.0,0.0
2025-07-01 01:23:00,658.58,1000.0,0.0,0.0
2025-07-01 01:24:00,658.66,1000.0,0.0,0.0
2025-07-01 01:25:00,658.76,1000.0,0.0,0.0
2025-07-01 01:26:00,658.7,1000.0,0.0,0.0
2025-07-01 01:27:00,658.92,1000.0,0.0,0.0
2025-07-01 01:28:00,658.62,1000.0,0.0,0.0
2025-07-01 01:29:00,658.61,1000.0,0.0,0.0
2025-07-01 01:30:00,658.36,1000.0,0.0,0.0
2025-07-01 01:31:00,658.33,1000.0,0.0,0.0
2025-07-01 01:32:00,658.26,1000.0,0.0,0.0
2025-07-01 01:33:00,658.49,1000.0,0.0,0.0
2025-07-01 01:34:00,658.91,1000.0,0.0,0.0
2025-07-01 01:35:00,658.86,1000.0,0.0,0.0
2025-07-01 01:36:00,658.75,1000.0,0.0,0.0
2025-07-01 01:37:00,658.62,1000.0,0.0,0.0
2025-07-01 01:38:00,658.48,1000.0,0.0,0.0
2025-07-01 01:39:00,658.42,1000.0,0.0,0.0
2025-07-01 01:40:00,658.51,1000.0,0.0,0.0
2025-07-01 01:41:00,658.33,1000.0,0.0,0.0
2025-07-01 01:42:00,658.3,1000.0,0.0,0.0
2025-07-01 01:43:00,658.09,1000.0,0.0,0.0
2025-07-01 01:44:00,658.04,1000.0,0.0,0.0
2025-07-01 01:45:00,658.47,1000.0,0.0,0.0
2025-07-01 01:46:00,658.34,1000.0,0.0,0.0
2025-07-01 01:47:00,658.76,1000.0,0.0,0.0
2025-07-01 01:48:00,658.59,1000.0,0.0,0.0
2025-07-01 01:49:00,658.66,1000.0,0.0,0.0
2025-07-01 01:50:00,658.62,1000.0,0.0,0.0
2025-07-01 01:51:00,658.12,1000.0,0.0,0.0
2025-07-01 01:52:00,657.81,1000.0,0.0,0.0
