entry_price,quantity,margin,type
800.61,0.012490476012040818,10.0,LONG
810.8,0.0123334977799704,10.0,LONG
807.35,0.012386201771226853,10.0,LONG
803.6,0.012444001991040319,10.0,LONG
800.38,0.012494065318973487,10.0,LONG
797.07,0.012545949540190948,10.0,LONG
793.36,0.012604618332156902,10.0,LONG
793.35,0.012604777210562803,10.0,LONG
793.5,0.01260239445494644,10.0,LONG
789.88,0.012660150908998835,10.0,LONG
805.9,0.012408487405385284,10.0,LONG
802.65,0.012458730455366598,10.0,LONG
803.02,0.01245298996289009,10.0,LONG
799.79,0.012503282111554284,10.0,LONG
796.5,0.012554927809165096,10.0,LONG
793.08,0.012609068442023502,10.0,LONG
789.38,0.012668169956168132,10.0,LONG
785.85,0.012725074759814213,10.0,LONG
782.46,0.012780206016920993,10.0,LONG
